Business Name,Phone
"Restaurante O Bairro","234 338 567"
"Maré Cheia","234 384 030"
"A Nossa Casa","234 080 135"
"Tasquinha da Ria","234 369 525"
"3800","928 285 572"
"Salpoente","234 382 674"
"Bacalhau & Afins","916 235 226"
"Tasca do Sal","234 096 267"
"O Legado da Ria","234 423 546"
"Restaurante Picota","234 421 538"
"Cais do Pescado","234 425 066"
"Subenshi Sushi","915 484 331"
"António's spot","910 001 040"
"Necas' House","234 423 781"
"Solar do Bacalhau - Aveiro","234 331 061"
"Cais da Tosca","961 972 737"
"Leitão de Levira","234 421 073"
"Adega Típica O Telheiro","234 429 473"
"Mercantel","969 673 984"
"Portofino Ristorante","234 045 061"
"Pizzarte","234 427 103"
"Pulcinella Pizzeria","915 235 591"
"Casa Mia","234 482 192"
"Pizzaria do Nosso Bairro","234 093 748"
"Dolce Pizzeria Ristorante","926 972 330"
"Bonanza - Trattoria","965 355 080"
"Pizzeria Rimini","234 421 750"
"Mr.Pizza","234 410 100"
"La Grotta","234 054 174"
"Pizza Jaime","234 348 085"
"LA MAMAROMA","910 580 173"
"Ristorante San Marco","234 070 864"
"Yeah Aveiro","234 348 041"
"Telepizza Aveiro","234 381 800"
"Pizzburguer","234 420 342"
"Patrono Pizza","234 306 550"
"Food Kor'T","920 044 923"
"Plazza Forneria","910 119 451"
"Clandestino by Salpoente","234 483 185"
"M Bakery Aveiro","234 048 911"
"Gelataria/Cafeteria Milano","968 270 657"
"Coffeebreak","914 760 713"
"Monlou, Cake and Coffee House","234 041 511"
"NATA Lisboa - Aveiro","924 920 026"
"Urban Spot","933 992 953"
"Café a Barrica","234 426 768"
"Bastardo Coffee Roasters","911 722 700"
"Macaca Café","234 421 705"
"Brigs","918 257 447"
"BEMA brunch•coffee","234 106 510"
"Café Convívio","234 195 699"
"Café Central - Snack-Bar","937 755 030"
"Dolce Cata (Argentine Café)","967 735 674"
"Maria Pitanga Açaiteria - Aveiro","234 338 061"
"Confectionery Pastry Ramos","234 423 289"
"Café Amizade","967 077 631"
"Maarkos - Waffle Bubble & Pancake House","234 490 065"
"Dom Café","234 048 972"
"Alavarium Cocktail Bar","918 489 986"
"The Iron Duke Pub","234 133 922"
"The Foster Pub","963 768 229"
"Terraço Aveiro","934 090 353"
"Maria Lounge Bar","234 136 499"
"Luxor Lounge Bar Shisha","234 092 994"
"Casa de Chá","234 043 684"
"Martin's Bar","234 117 601"
"Boteco Aveiro","234 057 129"
"Toc'Aqui Jazz Bar","234 048 479"
"Ricardo's Wine Bar","925 351 542"
"Bodegas Bar","935 273 846"
"Refúgio do Drinks","234 423 191"
"Dokk Club","234 048 924"
"Hotel das Salinas - Grupo Alboi","234 404 190"
"Meliá Ria","234 401 000"
"Hotel Aveiro Palace","234 421 885"
"Hotel Moliceiro - Aveiro","234 377 400"
"Hotel Afonso V & SPA","234 425 191"
"Hotel Jardim","234 426 514"
"Hotel Imperial","234 380 150"
"VENEZA HOTEL","234 404 400"
"Aveiro Rossio Bed & Breakfast","932 099 346"
"Pousada Ria - Aveiro","234 860 180"
"Suites & Hostel Cidade Aveiro","234 376 150"
"Urban City","910 347 559"
"José Estêvão Hotel","961 260 255"
"1877 Estrela Palace Hotel","234 033 563"
"Family House","918 652 892"
"Hotel Palmeira","234 422 521"
"Magnolia Inn","928 163 222"
"HI Aveiro – Pousada de Juventude","234 482 233"
"Aveiro Rossio Hostel","964 398 194"
"Aveiro Beach Hostel","936 999 465"
"Yellow Inn Aveiro","966 372 989"
"Aveiro House - City Center Hotel Ria view Rooms","912 950 863"
"Guest House DML","916 249 424"
"Peters Guesthouse","919 353 135"
"Fernando Guest House","935 405 315"
"Baga de Sal Wine Guesthouse","234 185 512"
"Sol D'Ouro Guesthouse","916 285 924"
"Queen of Aveiro","234 426 941"
"Latina | Pastelaria Central SCP Lda","968 941 334"
