Business Name,Email
"Restaurante O Bairro","info@obairro.sorrisoseaplausos.pt"
"Salpoente","salpoente@salpoente.pt"
"Cais Do Pescado","info@sorrisoseaplausos.pt"
"3800","reservas@3800.pt"
"Ceboleiros","info@ceboleiros.com"
"Subenshi Sushi","info@subenshi.pt"
"Mercantel","geral@mercantel.pt"
"Batista Do Bacalhau","info@realsee.ai"
"Pizzarte","pizzarte@pizzarte.com"
"Dolce Pizzeria Ristorante","reservas@dolcepizzeriaristorante.com"
"Pulcinella Pizzeria","pizzeriapulcinella954@gmail.com"
"La Mamaroma","info@la-mamaroma.pt"
"Casa Mia","info@casamia.pt"
"Mr.pizza","user@domain.com"
"Clandestino By Salpoente","clandestino@restauranteclandestino.pt"
"Telepizza","info@telepizza.pt"
"Patrono Pizza","info@aveirocenter.pt"
"Nata","franchising@natalisboa.com"
"M Bakery","geral@mbakery.pt"
"Café A Barrica","info@abarrica.com"
"Café Central","info@cafecentralaveiro.pt"
"Confectionery Pastry Ramos","info@pastelariaramos.com"
"Piano Bar","info@piano-bar.pt"
"Maria Lounge Bar","info@marialoungebar.pt"
"Terraço","GERAL@TERRACOAVEIRO.PT"
"Wine Wings Bar","info@winewings.pt"
"Gbsa","info@gbsaveiro.pt"
"Hotel Jardim","info@hoteljardim.pt"
"Meliá Ria","melia.ria@meliaportugal.com"
"Hotel Das Salinas","reservas@hoteldassalinas.com"
"Hotel Center","reservas@hotelaveirocenter.com"
"Hotel Imperial","reservas@hotelimperial.pt"
"Hotel Palace","turimaveiropalacehotel@turimhoteis.com"
"Hotel Afonso V & Spa","info@hotelafonsov.pt"
"Hotel Moliceiro","info@hotelmoliceiro.pt"
"Ria View","info@hoteisweb.com"
"Suites & Hostel Cidade","info@hostelcidadeaveiro.pt"
"Veneza Hotel","info@venezahotel.pt"
"1877 Estrela Palace Hotel","geral@1877estrelapalace.pt"
"Hotel Palmeira","npalmeira.residencial@gmail.com"
"José Estêvão Hotel","info@galeriasuitehotel.pt"
"Urban City","info@urbanskull.pt"
"Family House","geral@hoteisweb.com"
"Hi – Pousada De Juventude","aveiro@movijovem.pt"
"Beach Hostel","info@vagueiraguesthouse.pt"
"Yellow Inn","info@aveiro.com.es"
"Peters Guesthouse","info@hospedaria-familiar-pt.book.direct"
"House","info@aveirohouse.com"
"Baga De Sal Wine Guesthouse","info@emalovestotravel.eu"
"Fernando Guest House","contacto@hoteisweb.com"
"Train Guesthouse","contact@hoteisweb.com"
"Pastry Flor De","geral@flordeaveiro.pt"
"Confeitaria Peixinho","info@confeitariapeixinho.pt"
"Doce Moliceiro","pastelariariaburguer@gmail.com"
"Studio Ana's Cabeleireiros & Extensões Mega Hair Premium","julianerodriguesgodoy@gmail.com"
"Espaço Da Beleza Paula Duarte","mbdesignarte@gmail.com"
"Susana Lopes","geral@susanalopes.pt"
"Hairtz","hairtz@hairtz.com"
"Dream. Beauty Studio","info@dreambeautystudio.pt"
"Jean Louis David","recrutamento@rsa.pt"
"Luísa Dias Hairstylist","geral@luisadiashairstylist.com"
"Stúdio Ju Nogueira","studiojunogueira@gmail.com"
"Helder Pereira Cabeleireiros","info@helderpereira.pt"
"Camazo Barbershop","alvaro-rey2013@hotmail.com"
"’s Barbershop","brandoncrvg@hotmail.com"
"Holy Barbershop","info@socialline.my.canva.site"
"O Barba | Barbearia","info@linktr.ee"
"Champions Barber Shop","info@championsbarbershop.pt"
"Magno's Visagist Style","info@magnostyles.netlify.app"
"Spartan Barbearia","info@spartanbarber.pt"
"1920 Barbershop","info@1920barbershop.com"
"Black Gold Barber Academy","geral@blackgoldbarberacademy.com"
"Barbearia","info@barbeariaaveirense.com"
