Business Name,Email
"Restaurante "" O Fernandes ""","info@ofernandes.pt"
"Taska da Vila","info@taskadavila.pt"
"Lufada Verde - Unipessoal Lda.","geral@lufadaverde.pt"
"A Forja - Restaurante Tradicional (Covilhã)","info@aforja.pt"
"Quinta de São Tiago","info@quintadesaotiago.pt"
"Mesa do Bairro","info@decorvillas.com"
"Taco Bell Serra Shopping","info@tacobell.pt"
"Carapito","info@carapitosnackbar.pt"
"Restaurante da Pousada do Convento de Belmonte","reservas@conventodebelmonte.pt"
"A Tasca do Mercado","geral@tarcportugal.com"
"Casa Sabugueiro","casasabugueiro@gmail.com"
"BoccaPizzeriaRomana","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
"Pizzeria La Pecora Nera","info@lapecoraneraericeira.eu"
"Domino’s Pizza Covilhã","info@dominospizza.pt"
"Trattoria Anjo da Guarda, Farmshop & Lounge","geral@casasdealpedrinha.com"
"Telepizza Fundão","info@telepizza.pt"
"Pizzaria Nogueira","info@pizzarianogueira.pt"
"Rock Pizza","info@rockpizza.pt"
"Pizzas da Praça","hello@yourwebsite.com"
"Pizza Hut","info@pizzahut.pt"
"Café Cine - Fundão","info@nails.com"
"BAGGA Fundão","apoiocliente@continente.pt"
"Café Central","info@codigopostal.ciberforma.pt"
"Bar Académico","geral@aaubi.org"
"Piscina Fluvial de Cortes do Meio","baldioscortes@sapo.pt"
"Cheeky - Bistro & Wine Bar","info@cheekybistro.pt"
"Epicentro Covilhã","info@epicentrocovilha.pt"
"Serra da Estrela Ice Arena","geral@desafiosdeinverno.pt"
"Senalonga - Bar & Restaurante","welcome@senalonga.pt"
"Pastelaria Central","info@pastelaria-central.pt"
"Almma by paris","info@almma.pt"
"SABORES DA GARDUNHA. Lda","geral@saboresdagardunha.pt"
"Jopama - Produtos Para A Indústria De Panificação. Limitada","geral@jopama.pt"
"Mondeguinho","geral@mondeguinho.pt"
"Brothers Pastry","info@local.infobel.pt"
"Padaria pastelaria IC'S","geral@irmaoscastanheiras.com"
"Saribela","geral@cm-belmonte.pt"
"HAIR WAVES","user@domain.com"
"LS","info@360porto.com"
"Paula Gonçalves Cabeleireiros","info@paulagoncalves.pt"
"HAIR CONCEPT Lisbon | Blonde & Color Hair Specialists","info@hairconceptlisbon.com"
"Lisbon Hair Style","info@lisbonhairstyle.com"
"Unique","info@unique.pt"
"Hair Express","info@hairexpress.pt"
"Tamara Alves Hairstylist","tamaracaterinaalves@gmail.com"
"Elite Barbershop","info@elitebarbershop.buk.pt"
"Barbershop","help.pt@booksy.com"
"For Gentlemen’s barbershop","info@for-gentlemensbarbershop.buk.pt"
"Men´s House Barbershop Lagos","info@fresha.com"
"Instituto De Beleza Beljovem","info@beljovemestetica.pt"
"ST29 SPA Automóvel","info@st29spa.pt"
"Golden Rock - Alambique Water Spa","info@goldenrock.pt"
"Satsanga Spa Ericeira","portugal.reservas@vilagale.com"
"AP Elements SPA by La Biosthétique Paris.","info@ap-hotelsresorts.com"
"Praia fluvial da Arxada","info@aquapolis.com.pt"
"SPA Delluxe","Delluxe@live.com.pt"
"Casas da Lapa, Nature & Spa Hotel","booking@casasdalapa.pt"
"Pena D'Água Boutique Hotel & Villas","info@penadagua.com"
"Puro Dão Hotel & Spa","rececao@purodao.pt"
"Praia do Sal Spa","info@praiadosal.com"
"Tasca da Estação","info@tascadaestacao.pt"
"Alkimya","info@grandrestaurant.com"
"Primu's Pizzeria","primuspizzeraia@gmail.com"
"Restaurante Lanche","info@lanche.eu"
"Ananda Café Fundão","info@anandacafe.pt"
"Piscina de São Fiel - Louriçal do Campo","camara@cm-castelobranco.pt"
"DF Comércio, Lda","geral@grupodf.pt"
"Mercado Bio Alpedrinha","geral@bioeco.pt"
"Casa Do Cimo","reservas@acasadocimo.com"
"Café Oasis","contato@exemplo.pt"
"Quinta da Vargem","info@en.quintadavargem.com"
"Parque Multiusos Duppigheim - Boidobra","info@freguesiaboidobra.pt"
"Pastéis de Mafra®","pasteisdemafra@gmail.com"
"Pó De Arroz Cabeleireiros - Alcains","info@podearrozcabeleireiros.pt"
"Tharine","thanyanuneshairstylist@gmail.com"
"S&R Studio - Salão de Beleza","info@beautynailhairsalons.com"
"Sattwa day spa","info@ivof.com"
"YO YO KEBAB E PIZZA","info@vamosja.pt"
"Servipronto","rochatropical@gmail.com"
"Restaurante ""Terra Viva""","geral@naturaimbhotels.com"
"Restaurante do Barroco del Rei","sobrevoar@sobrevoar.com"
"Pizza Out","chocolateetu.companhia@gmail.com"
"NA Escala - Pizzaria & Restaurante","clip.solucoescriativas@gmail.com"
"Tasca do Mono","info@turismo-robalo.com"
"Café Central","info@cafecentraltrinta.blogspot.com"
"Fora d'Horas Sabugal","info@chat.whatsapp.com"
"Sand Stage, Lda","contact@grupoalvesbandeira.com"
"Grupo Desportivo E Recreativo Lameirinhas","gdrlameirinhas@gmail.com"
"Bar A Fábrica","info@barfabrica.blogspot.pt"
"Padaria do Bonfim","info@padariadobonfim.pt"
"União Panificadora de Celorico da Beira, Lda.","info@uniaopanificadora.com"
"Christinne Cabeleireiros","chcabeleireiros@gmail.com"
"BodyConcept Guarda","saojoao@bodyconcept.pt"
"Barba de Aço","info@barbadeaco.pt"
"Golden fitness & Spa","geral@goldenfitness.pt"
"in Bulla, Country and Wellness - Turismo Rural","info@inbulla.pt"
"Restaurante Meio do Nada - Urgueira","meetingplace@herdadedaurgueira.com"
"Quinta das Olelas","eventos@quintadasolelas.pt"
"Restaurante Dona Alda","info@es.restaurantguru.com"
"Tábuas.Come","tabuas.come@gmail.com"
"Restaurante Akasushi","info@akasushi.pt"
"Churrasqueira da Quinta - Carapalha","info@churrasqueiradaquinta.com"
"Restaurante O Convento","restauranteconventodagraca@gmail.com"
"Sr Pulga","info@domain.com"
"Campo do Rosmaninho","info@campodorosmaninho.pt"
"Herdade do Regato","geral@herdadedoregato.com"
"Estação Caminhos Ferro de Castelo Branco","info@cp.pt"
"Quinta dos Carvalhos","info@quintadoscarvalhos.net"
"Padaria do Salgueiro","geral@padariadosalgueiro.eu"
"Lidl","info@lidl.pt"
"Salao Milenio","info@acicb.pt"
"Gisela Cabeleireiros","info@giselacabeleireiros.pt"
"BodyConcept Castelo Branco","castelobranco@bodyconcept.pt"
"EquilibriuM - Fisio & Baby SPA","geral@equilibriumfisio.pt"
"Termas da Piedade","reservas@yourhotelspa.com"
"Castelpool","geral@castelpool.pt"
"Restaurante Martinho","ugorodrigues@gmail.com"
"✨ Cardo Taberna & Mercearia - Sortelha By Aldeias Históricas de Portugal","cardo@cardomercearia.pt"
"ALTITUDE - Alojamento e restauração","info@sites.google.com"
"Meeat Burger Bar","info@meeat.food.pt"
"O Campanário","info@casadocampanario.traveleto.com"
"Quinta dos Termos","info@quintadostermos.pt"
"O Cantinho dos Cabrais","geral@ocantinhodoscabrais.pt"
"Conversa Fidalga","geral.conversafidalga@gmail.com"
"Maria Doce Brunch","mariadoce2024@gmail.com"
"Hey Sunday - Brunch Restaurant","info@heysunday.pt"
"Restaurante Tasquinha da Saudade","tasquinhasaudade@gmail.com"
"Safra Restaurante","hello@quintadonairia.com"
"Restaurante AVÓ","amilcaralmeida1@hotmail.com"
"Churrasqueira Tim","carlajesus052@gmail.com"
"O Casarão","info@restauranteocasaraodecoimbra.blogspot.com"
"Restaurante O Mercado","ritacoliveira@live.com.pt"
"Quinta Da Malhadinha","info@quintadamalhadinha.pt"
"Restaurante O Observatório","artigalaeventos@sapo.pt"
"Tasquinha Tirene","tasquinhatirene@gmail.com"
"Legumes & outros Vícios","info@legumeseoutrosvicios.pt"
"Avô Martinho","scardoso@espacodecontas.pt"
"Taberna O Abade","tabernaabade24@outlook.pt"
"Lino dos Leitões","info@guianet.pt"
"Sabor e Arte","info@saboreartecoimbra.com"
"Capa Negra","capanegrarestaurante@gmail.com"
"Churrasqueira da Várzea Eiras","info@churrasqueiradavarzea.com"
"Churrasqueira A Capoeira","3marreco@gmail.com"
"Locomotiva BA61 Restaurante - Prato do dia","info@locomotivaba61.com"
"O Retiro | Churrascaria da Aldeia","oretirocanedo@outlook.com"
"Restaurante 2 Amigos","jacinto.unipessoal@hotmail.com"
"Restaurante Lote 16","info@lugardoourives.pt"
"Fixe Pizza","info@fixepizza.net"
"O Bravo - Casa das Esfirras","info@obravo.pt"
"Museu do Mel","info@adfp.pt"
"O Espanhol","info@allaboutportugal.pt"
"Café Central","Xana.Filipe@sapo.pt"
"S&R Café Snack Bar","tavaresara4@gmail.com"
"Cafetaria Coimbra Doce","pastelariacoimbra.doce@gmail.com"
"Padaria Pastelaria Palmeira - Ribeira de Frades","info@pastelariapalmeira.pt"
"McDonald's - Coimbra Eiras","info@mcdonalds.pt"
"Bella Luy","cattypereira_18@hotmail.com"
"Snack Bar Fonseca","andreiafarturas@gmail.com"
"Volunteer firefighters Condeixa","info@bvcondeixa.pt"
"Minipreço","apoiocliente@auchan.pt"
"Bar 5° andar","info@hoteloslo-coimbra.pt"
"Castelo da Torre de Bera","info@jf-almalagues.pt"
"Tintos & Tantos","info@tintosetantos.net"
"PRIO","apoio.cliente@redicom.pt"
"ISCAC BAR","info@iscac.pt"
"Seven Bar","daniashreky@gmail.com"
"Troika Beer & Food","info@troikabeerandfood.com"
"Garden Lounge Bar","guilhermesimoesleal@gmail.com"
"Pastelaria Vasco da Gama - Celas","comercial@novagamagourmet.pt"
"São Silvestre","geral@saosilvestre.pt"
"Binómio - Produtos Alimentares, Lda.","info@candycatchocolats.com"
"EQUIPAN - Comércio Produtos Indústria Alimentares, Lda","info@equipan.pt"
"Queijadinha Celas","geral@queijadinha.com"
"Tosta Rica","geral@tosta-rica.com"
"Pão Quente - Vira Milho","campeaodasdelicias@gmail.com"
"DAN CAKE - Coimbra Factory","info@dancake.pt"
"Jean Louis David Coimbra Shopping","recrutamento@rsa.pt"
"Cidália Cabeleireiros - Alma Shopping","geral@cidalia-cabeleireiros.com"
"Filipe Ricardo Hairstylist","info@google.com"
"Barbearia Humanidade Coimbra","info@buk.pt"
"Sant Barbershop","moisescocacola.ms@gmail.com"
"Gonçalo Santos Barber Shop","info@goncalosantosbarber.pt"
"Cabral Barbershop | Barber in Coimbra","info@treatwell.pt"
"Cortes de Lisboa Forum Coimbra","geral@cortesdelisboa.pt"
"Si You","siyou.estetica@gmail.com"
"SUSPIRO BEAUTY LOUNGE","info@suspirobeautylounge.pt"
"In Estetica","In.estetica.in@gmail.com"
"Cs Beauty Lousã","info@csbeauty.pt"
"MYOS Coimbra","info@myos.eu"
"Sara Sales Nails and Beauty","sara_saless@hotmail.com"
"FaceStudio Clínica de Saúde e Beleza Facial","info@facestudio.eu"
"Wiñk","info@wink.pt"
"ENIGMA SPA","email@example.com"
"VOGA Momentos SPA","info@vogamomentos.com"
"AnnaCau Skintherapist","info@annacau.pt"
"Di-Anna Centro De Estética E SPA em Coimbra","di-anna@esteticacoimbra.pt"
"Dermofashion, Lda","info@dermofashion.pt"
"Pedra Aguda","geral@pedraaguda.pt"
"Moments SPA Aveiro","booking@maarlab.com"
"Aveiro SPA","info@aveirospa.com"
"Restaurante Elisio de Elisio Gomes Francisco & Filhos, Lda.","info@elisio.pt"
"Mais Sabor","geral@maissabor.pt"
"Cafe Mercado Restaurant","info@restaurantecafemercado.eu"
"Mensa Restaurant","info@malibufoz.com"
"Dom PICANHA Burguer & Restaurante","dompt01@gmail.com"
"Mondi Beach Food & Drinks","info@mondibeach.com"
"Sunset 63","info@Sunset63.eu"
"Quinta d'Anta - Hotel Rural","%20%20hotel@quintadanta.pt"
"Presto Pizza Cantanhede","info@prestopizzacantanhede.com"
"Bar Santa Apolónia","info@business.google.com"
"The Fogg pub","lovelylevelunipessoal@gmail.com"
"Salão Chapéu","salao_chapeu@hotmail.com"
"Cafetaria SilvySnack","info@silvysnack.weebly.com"
"Restaurante O Portugal","vitormoco_50@hotmail.com"
"Pastry and Bakery Sweet Dream","pastelariasonhodoce@sapo.pt"
"Pastelaria Central","info@az-portugal.com"
"Cabeleireiro Salão Brasil - Figueira da Foz","joana.lopes.networker@gmail.com"
"Ilda Cabeleireiros","geral@ildacabeleireiro.pt"
"Climage - Beleza, Estética e cuidados pessoais .","your.email@example.com"
"Sweeney Todd - Barber & Academy","barber@sweeneytodd.pt"
"Nails&beauty by Katia Cordeiro","Katia.scordeiro@hotmail.com"
"Marina Wellness - Massagens e Terapias","marina.carmo.r@gmail.com"
"Costa de Prata II","hotel@costadeprata.com"
"Day Spa Edite","geral@dayspaedite.pt"
"Termas-da-Azenha","info@termas-da-azenha.com"
"FitMe3070","geral@fitme3070.pt"
"Palativm Restaurante","info@palaciosaosilvestre.com"
"Restaurante Residencial Arcada","info@restauranteresidencialarcada.eatbu.com"
"Restaurante Milénio","silvia.ramos1980@hotmail.com"
"Restaurante Torres","restaurantetorres@live.com.pt"
"Leitão de Levira","info@leitaodelevira.pt"
"Restaurante O Zé","info@molhosflorinda.pt"
"Dolce Pizzeria Ristorante","reservas@dolcepizzeriaristorante.com"
"Pulcinella Pizzeria","pizzeriapulcinella954@gmail.com"
"Cafetaria Infante","info@amanhecer.pt"
"Café Quitas","deboraborges.19@hotmail.com"
"Terraço Boco Lounge - Café Bistrô Bar","geral@bocolounge.pt"
"Casa de Campo Colmeal","info@casadocolmeal.pt"
"Bar Afonso Cristna","info@pt.restaurantguru.com"
"Quinta de Mogofores","exemplo@dominio.com"
"Quinta de São Lourenço","qsl@quinta-de-s-lourenco.pt"
"Pastéis Tentúgal Maria Helena Soares","rodrigosoaresrs1986@gmail.com"
"Feira da Tocha","junta.tocha@sapo.pt"
"Multi Therapies","geral@multitherapies.pt"
"Susana Lopes - Hairstylist","geral@susanalopes.pt"
"Champions barber shop","info@championsbarbershop.pt"
"Cabeleireiro Vila Alice","info@vilaalice.com"
"Estância Termal da Curia","reservas@termasdacuria.com"
"Ginásio GoldenClub","geral@goldenclub.pt"
"Salinário - Cale do Oiro","info@caledooiro.com"
"restaurante trintta","info@rest-trintta.pt"
"Novo restaurant pizzaria and sushi buffet","info@app.sushipizza.pt"
"Restaurante DeXcobre","info@restaurantedexcobre.com"
"TOKYO SUSHI 禾鲜居","info@tokyosushifatima.com"
"Restaurante Castros Reef & Beef","reservas@castrosreefbeef.pt"
"Mise En Place - Petiscos, Steakhouse & Winebar","geral@miseenplace.pt"
"Iguarias do Tempo - Quinta das Silveiras","info@iguariasdotempo.pt"
"Açaí Natura - Leiria","franchising@acainatura.pt"
"Restaurante The New","geral@thenew.pt"
"Panela Velha- Take-away","geralpanelavelha@gmail.com"
"O vitral - Restaurante","info@hoteiscristal.pt"
"O Augustito - Casa de Pasto","geral@oaugustito.com"
"Bom Petisco","info@bompetiscorestaurante.pt"
"D. Dinis Restaurante","info@lisotel.com"
"Boémio Petisqueira","geral@boemiopetisqueira.pt"
"Restaurante - O Leme","info@restauranteoleme.pt"
"Restaurante Saloon","info@quintadopaul.com"
"Supermercados Coviran","info@coviran.pt"
"Café Testa","info@fatima.empresasportugal.net"
"Adro Snack Bar - Pão Quente","info@adrosnackbarpaoquente.pt"
"Sta Clara Café","info@staclaracafe.com"
"Cafe Jolinel","info@jolinel.pt"
"The King´s Pub","info@menu.thekingspub.pt"
"Restaurante Roma","info@restauranteroma.pt"
"Espaço Sofistiqué Nail Bar","sofistiquenail@gmail.com"
"CATLOOK","hello@catlook.pt"
"London Petiscaria","info@londoncafe.menulegal.pt"
"Cerveja Xarlie","info@xarlie.pt"
"Pastelaria Oliveira","info@pastelariaoliveira.pt"
"Verdinatingível, Lda","info@panetto.pt"
"Sabores da aldeia","info@saboresdaaldeia.pt"
"Pastelaria Santo Agostinho","info@santoagostinho.com"
"O Pasteleiro","luis_del_pastel@hotmail.com"
"Pastelaria Costa","ocultodopao@gmail.com"
"Pastry New Life","geral@pastelariavidanova.pt"
"Cafetaria Fábrica do pão","info@afabricadopao.pt"
"Maglice Pastelaria Marinha Grande","info@maglice.pt"
"Pão do Marquês","info@paoquentepastelarias.com"
"Brisanorte Pastelarias","encomendas@brisanorte.pt"
"Padaria Antiga","geral@padariaantiga.pt"
"O Toinito","geral@otoinito.pt"
"Pires Pastelarias","info@pastelariapires.com"
"Alexmel - Pastelarias","info@alexmelpastelarias.pt"
"Padaria do Pilado","geral@padaria-pilado.pt"
"Pastelaria Sea house","aureliatomasfilipe@gmail.com"
"MRCosmética","info@mrcosmetica.com"
"Floripes Cabelereiro e Estética","geral@floripes.com"
"Ermelinda Cabeleireiros","info@ermelinda.pt"
"Teu Estilo - Instituto de beleza","info@teu-estilo.pt"
"António Lopes","geral@antonio-lopes.pt"
"Clínica Donsilia Professional","info@donsiliaprofessional.pt"
"Monica Cardoso - Cabeleireiro, Estética & Solário","monicacardoso.cabeleireiro@gmail.com"
"Taiara Beauty","info@hellobeauty.pt"
"BlackRazor - Barber Shop","brunojgp@hotmail.com"
"Barba Negra Leiria","info@barbanegra.pt"
"Fred's - Barbearia Clássica","info@freds.pt"
"Mauricio's Barbearia","info@play.google.com"
"Espaço T","geral@spaespacot.pt"
"Macrisbete Cabeleireiros","info@macrisbete.pt"
"Leiriestética","comercial@leiriestetica.pt"
"Yoshi Line Estética - Rosa Costa","info@yoshiline.pt"
"In Bleze","info@inbleze.pt"
"Thalasso Nazaré","info@thalassonazare.com"
"Aurum Head Spa","geral@aurumheadspa.com"
"Espaço Turka Zen","Espacoturkazen@gmail.com"
